name,age,gender,salary,retirement_age,marital_status,state_of_residence,health_risk_score,salary_growth_rate,salary_risk_score,pensions,annuities,social_security_benefit,spouse_age,spouse_gender,spouse_retirement_age,spouse_salary,spouse_wealth,spouse_social_security_benefit,name_type,balance,pre_tax_contrib,roth_contrib,post_tax_contrib,taxable_contrib,name_type,balance,pre_tax_contrib,roth_contrib,post_tax_contrib,taxable_contrib,name_type,balance,pre_tax_contrib,roth_contrib,post_tax_contrib,taxable_contrib,name_type,balance,pre_tax_contrib,roth_contrib,post_tax_contrib,taxable_contrib,name_type,balance,pre_tax_contrib,roth_contrib,post_tax_contrib,taxable_contrib,name_type,balance,pre_tax_contrib,roth_contrib,post_tax_contrib,taxable_contrib,name_type,balance,pre_tax_contrib,roth_contrib,post_tax_contrib,taxable_contrib,name_type,balance,pre_tax_contrib,roth_contrib,post_tax_contrib,taxable_contrib,name_type,balance,pre_tax_contrib,roth_contrib,post_tax_contrib,taxable_contrib,name_type,balance,pre_tax_contrib,roth_contrib,post_tax_contrib,taxable_contrib,name_type,balance,pre_tax_contrib,roth_contrib,post_tax_contrib,taxable_contrib,name_type,balance,pre_tax_contrib,roth_contrib,post_tax_contrib,taxable_contrib,recommended_retirement_age,goal_end_age,sustainable_income,current_equity,five_years_before_equity,at_retirement_equity,five_years_after_retirement_equity,current_wealth,five_years_before_wealth,at_retirement_wealth,five_years_after_retirement_wealth,recommended_account1_name,recommended_account1_pre_tax_contrib,recommended_account1_roth_contrib,recommended_account1_post_tax_contrib,recommended_account1_taxable_contrib,recommended_account2_name,recommended_account2_pre_tax_contrib,recommended_account2_roth_contrib,recommended_account2_post_tax_contrib,recommended_account2_taxable_contrib,recommended_account3_name,recommended_account3_pre_tax_contrib,recommended_account3_roth_contrib,recommended_account3_post_tax_contrib,recommended_account3_taxable_contrib,recommended_account4_name,recommended_account4_pre_tax_contrib,recommended_account4_roth_contrib,recommended_account4_post_tax_contrib,recommended_account4_taxable_contrib,recommended_account5_name,recommended_account5_pre_tax_contrib,recommended_account5_roth_contrib,recommended_account5_post_tax_contrib,recommended_account5_taxable_contrib,recommended_account6_name,recommended_account6_pre_tax_contrib,recommended_account6_roth_contrib,recommended_account6_post_tax_contrib,recommended_account6_taxable_contrib,recommended_account7_name,recommended_account7_pre_tax_contrib,recommended_account7_roth_contrib,recommended_account7_post_tax_contrib,recommended_account7_taxable_contrib,recommended_account8_name,recommended_account8_pre_tax_contrib,recommended_account8_roth_contrib,recommended_account8_post_tax_contrib,recommended_account8_taxable_contrib,recommended_account9_name,recommended_account9_pre_tax_contrib,recommended_account9_roth_contrib,recommended_account9_post_tax_contrib,recommended_account9_taxable_contrib,recommended_account10_name,recommended_account10_pre_tax_contrib,recommended_account10_roth_contrib,recommended_account10_post_tax_contrib,recommended_account10_taxable_contrib,recommended_account11_name,recommended_account11_pre_tax_contrib,recommended_account11_roth_contrib,recommended_account11_post_tax_contrib,recommended_account11_taxable_contrib,recommended_account12_name,recommended_account12_pre_tax_contrib,recommended_account12_roth_contrib,recommended_account12_post_tax_contrib,recommended_account12_taxable_contrib
723,62,M,45228,61,TRUE,MN,-0.6,0.01,-1,0,0,14246.4,60,F,65,0,0,6614.4,1044_traditional_ira,92770.0984,0,0,0,0,1048_traditional_ira,200043.735,0,0,0,0,1049_checking,10002.18675,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,91,32119.84106,0.4772242,,,0.4616897,302816.0201,,,240560.0355,ManualAccountPortfolio_1049,0,0,0,0,Advice::Portfolio_63,0,0,0,0,ManualAccountPortfolio_1048,0,0,0,0,Advice::Portfolio_62,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,47,F,56000,65,TRUE,WA,0.4,0.01,-0.5,0,0,20685.6,49,M,65,0,0,11934,1053_403b,46757.37723,0,0,0,0,1054_profit_sharing,36120.97876,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,94,44189.93154,0.7993345,0.5879679,0.4893456,0.4377532,82878.35599,172376.7564,233522.918,194244.8932,Advice::Portfolio_65,0,0,0,0,Advice::Portfolio_64,0.0775,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,47,F,50000,67,FALSE,AR,0,0.005,-0.5,0,0,21948,,,,,,,1083_403b,0.37916239,0,0,0,0,1084_profit_sharing,25023.33295,0,0,0,0,1085_401k,0,"$2,500.00",0,0,0,2753_traditional_ira,4472.67,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,92,32631.37394,0.8233418,0.5399883,0.4445554,0.3982836,29496.38211,142303.5851,179071.0756,158480.0459,Advice::Portfolio_71,0,0,0,0.0725,ManualAccountPortfolio_1085,0.05,0,0,0,Advice::Portfolio_70,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,48,M,43000,65,TRUE,WI,0.4,0.005,0.5,0,0,17087.2,42,F,65,0,0,6407.7,1089_401k,123100.5857,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,100,33714.2987,0.8110995,0.6416109,0.5480101,0.4648845,123100.5857,209326.7876,258050.4235,203979.8403,Advice::Portfolio_75,0,0,0,0,Advice::Portfolio_74,0.07,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,50,F,70000,65,FALSE,ME,0.4,0.01,-1,0,0,26976,,,,,,,1090_403b,278.8,0,0,0,0,1091_403b,37350.27223,0,0,0,0,1092_401k,2153.853592,"$7,000.00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,94,40786.40439,0.8449425,0.5761767,0.4569625,0.4080255,39782.92582,187051.4425,276491.1319,245451.3598,Advice::Portfolio_73,0,0,0,0,ManualAccountPortfolio_1092,0.1,0,0,0,Advice::Portfolio_72,0.05,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,64,M,52000,63,TRUE,NY,0,0.01,-1,0,0,18076.8,59,F,65,0,0,7343.7,1093_traditional_ira,57935.17189,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,97,26779.94266,0.5002178,,,0.5122144,57935.17189,,,29421.83813,Advice::Portfolio_77,0,0,0,0,Advice::Portfolio_76,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,61,M,38000,65,FALSE,IL,0,0.01,-1,0,0,14486.4,,,,,,,1095_roth_ira,45145.21732,0,0,0,0,1096_traditional_ira,332687.0727,0,0,0,0,1097_401k,20449.70414,"$1,520.00",0,0,0,1098_roth_ira,29538.46154,0,0,0,0,1099_brokerage,26130.17751,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,90,35001.45342,0.4882489,,0.4417187,0.3922187,453950.6332,,464441.6156,375960.674,ManualAccountPortfolio_1099,0,0,0,0,Advice::Portfolio_80,0,0,0,0,ManualAccountPortfolio_1097,0.05,0,0,0,Advice::Portfolio_79,0,0,0,0,ManualAccountPortfolio_1098,0,0,0,0,Advice::Portfolio_78,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,65,F,110000,68,TRUE,CA,0,0.015,-0.5,0,0,42118.56,66,M,65,1,0,0,1106_403b,47122.66523,0,0,0,0,1112_401k,105981.9559,"$13,500.00",0,0,0,1113_checking,200131.2623,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,92,80781.66308,0.5956485,0.5956485,0.4377294,0.3907317,353235.8834,353235.8834,426524.9446,344248.5631,ManualAccountPortfolio_1113,0,0,0,0,Advice::Portfolio_89,0,0,0,0,ManualAccountPortfolio_1112,0.1227273,0,0,0,Advice::Portfolio_88,0.0272727,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,67,M,80000,70,TRUE,MA,0.8,0.02,-1,4944,78960,29100,68,F,65,0,0,11100,1116_403b,62540.52,$0.00,$0.00,$0.00,0,1202_403b,35437.94972,$0.00,$0.00,$0.00,0,1203_403b,36606.94293,$0.00,$0.00,$0.00,0,1204_brokerage,80070.02188,0,0,0,0,1404_traditional_ira,205290.2338,$0.00,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,96,83091.63002,0.5386776,,0.4494071,0.400982,419945.6683,,782102.7817,686566.8372,ManualAccountPortfolio_1204,0,0,0,0,Advice::Portfolio_144,0,0,0,0,Advice::Portfolio_143,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,63,M,60000,65,TRUE,NY,0.4,0.01,-1,0,0,25152,57,F,65,60000,0,17606.4,1120_traditional_ira,104925.1903,0,0,0,0,1121_403b,134192.5213,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,100,53451.82373,0.6139107,,0.5081207,0.4577711,239117.7116,,287093.5297,231071.7634,Advice::Portfolio_91,0,0,0,0.0416667,Advice::Portfolio_90,0.1083333,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
